Model,Dataset,Full_Acc,Hyp_Acc,Prem_Acc,PIRI_hyp
roberta,snli,0.928,0.43,0.314,0.5366379310344828
roberta,mnli,0.862,0.365,0.337,0.5765661252900232
roberta,hans,0.71,0.089,0.061,0.8746478873239437
roberta,xnli,0.891,0.39,0.315,0.5622895622895623
roberta,anli,0.3,0.344,0.353,-0.1466666666666666
roberta,sick,0.58,0.342,0.522,0.41034482758620683
deberta,snli,0.932,0.425,0.329,0.5439914163090129
deberta,mnli,0.896,0.406,0.324,0.546875
deberta,hans,0.791,0.213,0.245,0.7307206068268016
deberta,xnli,0.912,0.424,0.34,0.5350877192982456
deberta,anli,0.332,0.318,0.347,0.04216867469879522
deberta,sick,0.6,0.334,0.274,0.4433333333333333
distilroberta,snli,0.904,0.439,0.395,0.5143805309734514
distilroberta,mnli,0.836,0.362,0.317,0.5669856459330144
distilroberta,hans,0.532,0.109,0.496,0.7951127819548872
distilroberta,xnli,0.844,0.38,0.314,0.5497630331753555
distilroberta,anli,0.302,0.359,0.351,-0.18874172185430463
distilroberta,sick,0.565,0.416,0.321,0.263716814159292
distilbert,snli,0.773,0.36,0.326,0.5342820181112549
distilbert,mnli,0.811,0.358,0.313,0.558569667077682
distilbert,hans,0.543,0.169,0.369,0.6887661141804787
distilbert,xnli,0.834,0.394,0.332,0.52757793764988
distilbert,anli,0.313,0.333,0.346,-0.06389776357827481
distilbert,sick,0.566,0.478,0.345,0.1554770318021201
piri_distilroberta,snli,0.683,0.294,0.367,0.5695461200585652
piri_distilroberta,mnli,0.648,0.319,0.325,0.5077160493827161
piri_distilroberta,hans,0.511,0.0,0.024,1.0
piri_distilroberta,xnli,0.648,0.337,0.313,0.47993827160493824
piri_distilroberta,anli,0.331,0.34,0.335,-0.02719033232628401
piri_distilroberta,sick,0.435,0.549,0.481,-0.26206896551724146
